Job_Title,Company,Location,Salary,Skills,Experience,Job_Type,Industry
DevOps Engineer,HCL,Delhi,604902,"Docker, Kubernetes, AWS, Jenkins",1,Full-Time,Technology
Software Engineer,HCL,Hyderabad,3338283,"Python, Django, PostgreSQL",1,Full-Time,IT
Data Analyst,Accenture,Bangalore,1417034,"Python, SQL, Tableau",1,Full-Time,Technology
BI Developer,Accenture,Kolkata,2259593,"Power BI, SQL, DAX",8,Full-Time,SaaS
Cloud Architect,HCL,Noida,1169659,"AWS, GCP, Kubernetes",0,Full-Time,E-Commerce
Software Engineer,Infosys,Hyderabad,1911779,"Python, Django, PostgreSQL",3,Full-Time,IT
Data Engineer,Cognizant,Bangalore,3032210,"AWS, Spark, ETL, SQL",5,Full-Time,FinTech
Data Scientist,IBM,Delhi,830511,"Python, TensorFlow, Deep Learning",6,Full-Time,FinTech
Frontend Developer,Capgemini,Mumbai,692201,"React, TypeScript, CSS",1,Full-Time,IT
Cloud Architect,Google,Delhi,923630,"AWS, GCP, Kubernetes",3,Full-Time,Security
Cloud Architect,Amazon,Chennai,1182220,"AWS, GCP, Kubernetes",5,Full-Time,Security
Backend Developer,Capgemini,Pune,3054880,"Node.js, MongoDB, Express",1,Full-Time,Technology
AI Engineer,Flipkart,Mumbai,1632243,"Python, TensorFlow, Deep Learning",6,Full-Time,SaaS
Cyber Security Analyst,Paytm,Bangalore,1460697,"Network Security, SIEM, Python",0,Full-Time,Consulting
Backend Developer,Flipkart,Chennai,1384926,"Node.js, MongoDB, Express",1,Full-Time,Security
AI Engineer,Microsoft,Pune,3196316,"Python, TensorFlow, Deep Learning",6,Full-Time,Technology
Frontend Developer,Cognizant,Noida,2760634,"React, TypeScript, CSS",8,Full-Time,E-Commerce
Frontend Developer,Microsoft,Hyderabad,2637108,"JavaScript, React, HTML, CSS",2,Full-Time,SaaS
Data Scientist,Wipro,Noida,3131699,"Python, Machine Learning, SQL, Pandas",2,Full-Time,Consulting
Business Analyst,Cognizant,Bangalore,2719266,"Excel, SQL, Power BI, Tableau",7,Full-Time,Security
Product Analyst,Zoho,Chennai,1619145,"SQL, Python, Tableau",8,Full-Time,E-Commerce
Business Analyst,TCS,Delhi,2403055,"Excel, SQL, Power BI, Tableau",2,Full-Time,FinTech
Product Analyst,Cognizant,Mumbai,3122699,"SQL, Python, Tableau",1,Full-Time,E-Commerce
Cyber Security Analyst,Zoho,Bangalore,2762319,"Network Security, SIEM, Python",2,Full-Time,Consulting
Data Analyst,Flipkart,Delhi,2022451,"Python, SQL, Power BI, Excel",1,Full-Time,IT
Frontend Developer,HCL,Kolkata,859256,"JavaScript, React, HTML, CSS",1,Full-Time,SaaS
Cloud Engineer,Capgemini,Kolkata,1038512,"AWS, Docker, Kubernetes, Linux",2,Full-Time,E-Commerce
Cloud Engineer,Flipkart,Mumbai,1388346,"AWS, Docker, Kubernetes, Linux",6,Full-Time,Consulting
DevOps Engineer,Flipkart,Kolkata,2337524,"Docker, Kubernetes, AWS, Jenkins",5,Full-Time,Technology
Frontend Developer,TCS,Mumbai,1918033,"JavaScript, React, HTML, CSS",1,Full-Time,IT
Data Scientist,Infosys,Bangalore,1460251,"Python, TensorFlow, Deep Learning",0,Full-Time,IT
Cloud Engineer,Capgemini,Kolkata,1668018,"AWS, Docker, Kubernetes, Linux",3,Full-Time,FinTech
Software Engineer,Zoho,Kolkata,1519204,"Python, Django, PostgreSQL",7,Full-Time,Technology
Data Scientist,Google,Chennai,3263973,"Python, TensorFlow, Deep Learning",1,Full-Time,Consulting
AI Engineer,Capgemini,Hyderabad,3324295,"Python, TensorFlow, Deep Learning",0,Full-Time,Consulting
BI Developer,Accenture,Mumbai,958307,"Power BI, SQL, DAX",5,Full-Time,FinTech
AI Engineer,Wipro,Delhi,2269499,"Python, TensorFlow, Deep Learning",2,Full-Time,Technology
Cloud Architect,Zoho,Hyderabad,2358625,"AWS, GCP, Kubernetes",1,Full-Time,Security
Cloud Engineer,Flipkart,Mumbai,891172,"AWS, Docker, Kubernetes, Linux",0,Full-Time,Consulting
AI Engineer,Paytm,Noida,1396521,"Python, TensorFlow, Deep Learning",7,Full-Time,Technology
Business Analyst,Cognizant,Kolkata,2137547,"Excel, SQL, Power BI, Tableau",0,Full-Time,Consulting
BI Developer,HCL,Kolkata,3276089,"Power BI, SQL, DAX",8,Full-Time,Technology
Backend Developer,Oracle,Bangalore,745296,"Python, Django, PostgreSQL",3,Full-Time,IT
Data Analyst,Flipkart,Pune,2609107,"Python, SQL, Power BI, Excel",7,Full-Time,FinTech
Data Scientist,Oracle,Hyderabad,787399,"Python, Machine Learning, SQL, Pandas",2,Full-Time,Consulting
Data Scientist,Oracle,Bangalore,2928162,"Python, Machine Learning, SQL, Pandas",3,Full-Time,Consulting
DevOps Engineer,Flipkart,Delhi,1826951,"Docker, Kubernetes, AWS, Jenkins",8,Full-Time,Security
BI Developer,Cognizant,Noida,1501121,"Power BI, SQL, DAX",5,Full-Time,Security
DevOps Engineer,Amazon,Hyderabad,2417738,"Docker, Kubernetes, AWS, Jenkins",4,Full-Time,Consulting
ML Engineer,IBM,Mumbai,807277,"Python, PyTorch, Machine Learning",1,Full-Time,Technology
Product Analyst,Flipkart,Mumbai,788531,"SQL, Python, Tableau",5,Full-Time,E-Commerce
Software Engineer,HCL,Delhi,2778421,"Java, Spring Boot, MySQL",7,Full-Time,Security
Cloud Architect,Flipkart,Hyderabad,1755685,"AWS, GCP, Kubernetes",8,Full-Time,E-Commerce
Data Scientist,Wipro,Delhi,2820388,"Python, TensorFlow, Deep Learning",1,Full-Time,FinTech
Frontend Developer,Capgemini,Delhi,1353949,"React, TypeScript, CSS",5,Full-Time,E-Commerce
Product Analyst,Capgemini,Noida,887127,"SQL, Python, Tableau",0,Full-Time,IT
Data Analyst,Capgemini,Delhi,1048697,"Python, SQL, Power BI, Excel",5,Full-Time,Security
AI Engineer,Google,Bangalore,3459783,"Python, TensorFlow, Deep Learning",8,Full-Time,IT
Product Analyst,TCS,Chennai,2788371,"SQL, Python, Tableau",2,Full-Time,Consulting
Software Engineer,Amazon,Bangalore,1792929,"Python, Django, PostgreSQL",0,Full-Time,Technology
DevOps Engineer,Infosys,Chennai,3297321,"Docker, Kubernetes, AWS, Jenkins",3,Full-Time,FinTech
BI Developer,Paytm,Pune,1492948,"Power BI, SQL, DAX",2,Full-Time,Consulting
Data Analyst,Zoho,Noida,1893286,"Python, SQL, Tableau",2,Full-Time,SaaS
BI Developer,Wipro,Hyderabad,1619064,"Power BI, SQL, DAX",3,Full-Time,SaaS
Data Analyst,Accenture,Kolkata,1432954,"SQL, Tableau, Excel",7,Full-Time,E-Commerce
Cloud Architect,TCS,Mumbai,1435009,"AWS, GCP, Kubernetes",3,Full-Time,E-Commerce
Backend Developer,Amazon,Noida,1670735,"Python, Django, PostgreSQL",1,Full-Time,IT
Data Scientist,Oracle,Delhi,1248967,"Python, Machine Learning, SQL, Pandas",4,Full-Time,IT
ML Engineer,HCL,Chennai,1949916,"Python, PyTorch, Machine Learning",6,Full-Time,FinTech
Cloud Engineer,Flipkart,Mumbai,2115626,"AWS, Docker, Kubernetes, Linux",1,Full-Time,IT
BI Developer,IBM,Mumbai,507093,"Power BI, SQL, DAX",6,Full-Time,Consulting
Data Scientist,Amazon,Hyderabad,3113703,"Python, TensorFlow, Deep Learning",5,Full-Time,FinTech
Backend Developer,Google,Delhi,1868110,"Node.js, MongoDB, Express",6,Full-Time,Technology
Business Analyst,HCL,Pune,3340877,"Excel, SQL, Power BI, Tableau",6,Full-Time,Consulting
